Category,Value,TargetColumn
A,10,1
B,20,0
C,15,1
D,22,0
A,18,1
B,25,0
C,20,1
D,30,1
A,14,0
B,19,1
C,22,0
D,25,1
A,16,1
B,23,0
C,17,1
D,28,0
A,20,0
B,30,1
C,15,0
D,26,1
A,11,1
B,22,0
C,18,1
D,27,0
A,13,0
B,21,1
C,19,0
D,24,1
A,12,1
B,24,0
C,21,1
D,29,0
A,17,0
B,26,1
C,16,0
D,23,1
A,15,1
B,20,0
C,23,1
D,22,0
A,19,1
B,25,0
C,20,0
D,21,1
A,14,0
B,22,1
C,17,0
D,20,1
A,16,1
B,21,0
C,19,1
D,24,0
A,13,0
B,19,1
C,22,0
D,28,1
A,12,1
B,18,0
C,20,1
D,26,0
A,11,0
B,17,1
C,21,0
D,25,1
A,10,1
B,16,0
C,18,1
D,27,0
A,15,0
B,15,1
C,17,1
D,23,0
A,17,1
B,14,0
C,19,1
D,22,0
A,18,0
B,13,1
C,16,0
D,21,1
A,19,1
B,12,0
C,15,1
D,20,0
A,20,0
B,11,1
C,14,0
D,29,1
A,13,0
B,27,1
C,14,0
D,18,1
A,15,0
B,16,1
C,17,1
D,25,0
A,16,1
B,19,0
C,18,0
D,26,1
