Category,TargetColumn,Value
"A","1","10"
"B","0","20"
"C","1","15"
"D","0","22"
"A","1","18"
"B","0","25"
"C","1","20"
"D","1","30"
"A","0","14"
"B","1","19"
"C","0","22"
"D","1","25"
"A","1","16"
"B","0","23"
"C","1","17"
"D","0","28"
"A","0","20"
"B","1","30"
"C","0","15"
"D","1","26"
"A","1","11"
"B","0","22"
"C","1","18"
"D","0","27"
"A","0","13"
"B","1","21"
"C","0","19"
"D","1","24"
"A","1","12"
"B","0","24"
"C","1","21"
"D","0","29"
"A","0","17"
"B","1","26"
"C","0","16"
"D","1","23"
"A","1","15"
"B","0","20"
"C","1","23"
"D","0","22"
"A","1","19"
"B","0","25"
"C","0","20"
"D","1","21"
"A","0","14"
"B","1","22"
"C","0","17"
"D","1","20"
"A","1","16"
"B","0","21"
"C","1","19"
"D","0","24"
"A","0","13"
"B","1","19"
"C","0","22"
"D","1","28"
"A","1","12"
"B","0","18"
"C","1","20"
"D","0","26"
"A","0","11"
"B","1","17"
"C","0","21"
"D","1","25"
"A","1","10"
"B","0","16"
"C","1","18"
"D","0","27"
"A","0","15"
"B","1","15"
"C","1","17"
"D","0","23"
"A","1","17"
"B","0","14"
"C","1","19"
"D","0","22"
"A","0","18"
"B","1","13"
"C","0","16"
"D","1","21"
"A","1","19"
"B","0","12"
"C","1","15"
"D","0","20"
"A","0","20"
"B","1","11"
"C","0","14"
"D","1","29"
"A","0","13"
"B","1","27"
"C","0","14"
"D","1","18"
"A","0","15"
"B","1","16"
"C","1","17"
"D","0","25"
"A","1","16"
"B","0","19"
"C","0","18"
"D","1","26"
